id;id_wasp;id_secret;frame_type;frame_number;sensor;value;timestamp;sync;raw;parser_type;MeshliumID
4516;WeatherStation;49387063D9374225;134;201;PLV3;0.00;"2018-06-20 00:03:44";128;noraw;1;meshliuma460
18076;WeatherStation;49387063D9374225;134;48;PLV3;0.00;"2018-06-21 00:04:46";128;noraw;1;meshliuma460
31747;WeatherStation;49387063D9374225;134;52;PLV3;0.00;"2018-06-22 00:02:51";128;noraw;1;meshliuma460
45398;WeatherStation;49387063D9374225;134;57;PLV3;0.00;"2018-06-23 00:02:05";128;noraw;1;meshliuma460
59143;WeatherStation;49387063D9374225;134;60;PLV3;0.00;"2018-06-24 00:02:36";128;noraw;1;meshliuma460
72566;WeatherStation;49387063D9374225;134;60;PLV3;0.00;"2018-06-25 00:03:21";128;noraw;1;meshliuma460
86136;WeatherStation;49387063D9374225;134;60;PLV3;0.84;"2018-06-26 00:03:54";128;noraw;1;meshliuma460
99699;WeatherStation;49387063D9374225;134;52;PLV3;0.00;"2018-06-27 00:03:07";128;noraw;1;meshliuma460
113062;WeatherStation;49387063D9374225;134;53;PLV3;0.00;"2018-06-28 00:05:03";128;noraw;1;meshliuma460
126850;WeatherStation;49387063D9374225;134;47;PLV3;1.96;"2018-06-29 00:01:01";128;noraw;1;meshliuma460
140590;WeatherStation;49387063D9374225;134;60;PLV3;0.00;"2018-06-30 00:03:27";128;noraw;1;meshliuma460
154199;WeatherStation;49387063D9374225;134;60;PLV3;0.00;"2018-07-01 00:04:57";128;noraw;1;meshliuma460
181052;WeatherStation;49387063D9374225;134;36;PLV3;0.00;"2018-07-03 00:03:23";128;noraw;1;meshliuma460
194248;WeatherStation;49387063D9374225;134;29;PLV3;0.00;"2018-07-04 00:04:57";128;noraw;1;meshliuma460
207732;WeatherStation;49387063D9374225;134;37;PLV3;0.00;"2018-07-05 00:03:06";128;noraw;1;meshliuma460
221465;WeatherStation;49387063D9374225;134;46;PLV3;0.00;"2018-07-06 00:03:02";128;noraw;1;meshliuma460
235293;WeatherStation;49387063D9374225;134;45;PLV3;0.00;"2018-07-07 00:05:29";128;noraw;1;meshliuma460
249086;WeatherStation;49387063D9374225;134;56;PLV3;0.00;"2018-07-08 00:02:42";128;noraw;1;meshliuma460
262998;WeatherStation;49387063D9374225;134;60;PLV3;0.00;"2018-07-09 00:04:36";128;noraw;1;meshliuma460
276690;WeatherStation;49387063D9374225;134;35;PLV3;0.00;"2018-07-10 00:03:23";128;noraw;1;meshliuma460
290393;WeatherStation;49387063D9374225;134;31;PLV3;0.00;"2018-07-11 00:01:56";128;noraw;1;meshliuma460
303906;WeatherStation;49387063D9374225;134;26;PLV3;0.00;"2018-07-12 00:02:53";128;noraw;1;meshliuma460
